"filename", "language", "SCSS", "JavaScript", "comment", "blank", "total"
"c:\xampp\htdocs\fd\resources\js\Converter\DataStorage\DSText.js", "JavaScript", 0, -95, -3, -3, -101
"c:\xampp\htdocs\fd\resources\js\Converter\DragAndDrop.js", "JavaScript", 0, 0, -38, -7, -45
"c:\xampp\htdocs\fd\resources\js\Converter\drawElements\drawDesktop.js", "JavaScript", 0, -20, -2, -6, -28
"c:\xampp\htdocs\fd\resources\js\Converter\drawElements\drawMobile.js", "JavaScript", 0, -20, 0, -6, -26
"c:\xampp\htdocs\fd\resources\js\Converter\renderer\ConverterEvents.js", "JavaScript", 0, -132, -17, -4, -153
"c:\xampp\htdocs\fd\resources\js\Converter\renderer\ConverterRender.js", "JavaScript", 0, -712, -42, -34, -788
"c:\xampp\htdocs\fd\resources\js\Converter\renderer\ConverterRenderWorker.js", "JavaScript", 0, -30, -4, -4, -38
"c:\xampp\htdocs\fd\resources\js\Converter\renderer\ConverterTouchEvents.js", "JavaScript", 0, -139, -24, -3, -166
"c:\xampp\htdocs\fd\resources\js\Converter\renderer\handler\ConverterKeyHandler.js", "JavaScript", 0, -37, 0, -1, -38
"c:\xampp\htdocs\fd\resources\js\Converter\renderer\handler\ConverterMouseHandler.js", "JavaScript", 0, -31, 0, -2, -33
"c:\xampp\htdocs\fd\resources\js\Converter\renderer\handler\ConverterTouchHandler.js", "JavaScript", 0, -70, -14, -2, -86
"c:\xampp\htdocs\fd\resources\js\Converter\renderer\helper\CanvasPaths.js", "JavaScript", 0, -268, -28, -26, -322
"c:\xampp\htdocs\fd\resources\js\Converter\renderer\helper\ConverterComputeEdges.js", "JavaScript", 0, -166, -14, -9, -189
"c:\xampp\htdocs\fd\resources\js\Converter\renderer\helper\ConverterDrawHelper.js", "JavaScript", 0, -34, -30, -6, -70
"c:\xampp\htdocs\fd\resources\js\Converter\renderer\helper\lines\ConverterLine.js", "JavaScript", 0, -60, -10, -7, -77
"c:\xampp\htdocs\fd\resources\js\Converter\renderer\helper\lines\ConverterLinesHelper.js", "JavaScript", 0, -29, -5, -2, -36
"c:\xampp\htdocs\fd\resources\js\Converter\toolBar\adminBar.js", "JavaScript", 0, -408, -9, -53, -470
"c:\xampp\htdocs\fd\resources\js\Converter\toolBar\bottom\bottomBar.js", "JavaScript", 0, -59, -10, -1, -70
"c:\xampp\htdocs\fd\resources\js\Converter\toolBar\bottom\bottomBarDraw.js", "JavaScript", 0, -36, 0, -3, -39
"c:\xampp\htdocs\fd\resources\js\Converter\toolBar\bottom\draw\bottomBarImage.js", "JavaScript", 0, -115, -17, -12, -144
"c:\xampp\htdocs\fd\resources\js\Converter\toolBar\bottom\draw\bottomBarStandard.js", "JavaScript", 0, -155, -9, -9, -173
"c:\xampp\htdocs\fd\resources\js\Converter\toolBar\bottom\draw\bottomBarText.js", "JavaScript", 0, -91, -9, -13, -113
"c:\xampp\htdocs\fd\resources\js\Converter\toolBar\bottom\draw\bottomBarTextButtons.js", "JavaScript", 0, -109, 0, -13, -122
"c:\xampp\htdocs\fd\resources\js\Converter\toolBar\bottom\draw\bottomBarTextFontFamilyMenu.js", "JavaScript", 0, -44, 0, -5, -49
"c:\xampp\htdocs\fd\resources\js\Converter\toolBar\bottom\draw\helper.js", "JavaScript", 0, -53, -23, -9, -85
